BikeBuyer,Country,Education,Occupation,Gender,MaritalStatus,Home,AveMoSpend,Income,BirthYear,Cars,Child_Home,Child_Total
0,United States,Partial College,Skilled Manual,M,M,1,65,56248,1977,2,0,0
0,United States,Partial College,Skilled Manual,F,M,1,51,78170,1977,2,0,0
0,United States,Partial College,Skilled Manual,F,M,1,55,70623,1977,2,0,0
0,United States,Partial College,Skilled Manual,M,M,1,77,78150,1976,2,0,0
0,Australia,Partial High School,Clerical,M,M,1,76,24007,1949,2,1,2
0,Australia,High School,Skilled Manual,M,S,0,63,51472,1950,2,0,3
0,Australia,High School,Skilled Manual,F,M,1,48,50798,1950,2,0,3
0,Australia,High School,Skilled Manual,F,M,0,43,42738,1950,2,0,3
1,United States,Partial High School,Clerical,F,S,1,41,48422,1980,2,0,0
0,Australia,High School,Skilled Manual,M,M,1,73,58585,1951,2,0,3
0,Australia,High School,Skilled Manual,M,S,0,64,45982,1951,2,0,3
0,Australia,Partial College,Clerical,F,S,0,49,50790,1951,2,0,2
0,United States,Partial College,Skilled Manual,F,M,0,51,91599,1980,2,0,0
0,Australia,Partial College,Skilled Manual,F,M,1,43,50018,1952,2,0,2
0,Australia,Partial College,Skilled Manual,M,M,1,75,53459,1952,2,0,2
0,Australia,Partial College,Skilled Manual,F,M,1,46,38588,1953,2,0,3
0,Australia,Graduate Degree,Management,M,M,1,82,119540,1953,2,0,2
0,Australia,Partial College,Skilled Manual,M,M,1,87,119982,1954,2,0,2
0,Australia,Partial College,Skilled Manual,F,S,1,45,86953,1954,2,0,2
0,Australia,Partial College,Skilled Manual,M,M,1,87,116368,1954,2,0,2
1,Australia,Partial College,Skilled Manual,M,M,1,84,110712,1954,2,0,2
0,United States,High School,Skilled Manual,M,M,1,71,52145,1975,2,0,0
0,United States,High School,Skilled Manual,F,S,1,40,49609,1975,2,0,0
0,United States,High School,Skilled Manual,M,M,1,76,58306,1975,2,0,0
1,United States,Partial College,Skilled Manual,F,M,0,48,73388,1973,2,0,0
0,United States,Partial College,Professional,F,M,1,50,61686,1973,2,0,0
1,United States,Partial College,Professional,M,S,1,70,96049,1976,2,0,0
0,Australia,High School,Skilled Manual,M,M,1,87,109883,1955,2,0,2
0,Australia,High School,Skilled Manual,F,S,1,51,106718,1955,2,0,2
0,Australia,High School,Skilled Manual,F,S,0,52,97646,1955,2,0,2
0,Australia,High School,Skilled Manual,F,S,1,51,58916,1956,2,0,2
0,Australia,High School,Skilled Manual,M,S,1,74,93934,1956,2,0,2
0,Australia,High School,Professional,F,S,1,51,99137,1957,2,0,2
0,Australia,High School,Professional,M,S,1,73,112044,1957,2,0,2
0,Australia,High School,Professional,F,S,0,55,108728,1957,2,0,2
1,Canada,High School,Professional,F,S,0,48,49084,1974,2,0,0
0,Australia,Graduate Degree,Management,M,S,1,87,172444,1959,2,0,0
1,Australia,Graduate Degree,Management,M,M,1,92,181590,1959,2,0,0
0,United States,Bachelors ,Management,F,M,1,76,148109,1966,3,2,2
1,United States,Graduate Degree,Management,F,S,0,62,149717,1966,3,1,1
1,United States,Graduate Degree,Management,F,M,1,68,163913,1966,3,1,1
0,United States,High School,Professional,F,S,0,47,66900,1957,2,0,2
0,United States,Partial College,Professional,M,M,1,98,97834,1957,0,1,2
0,United States,Bachelors ,Management,M,M,1,104,129910,1957,0,1,2
1,United States,Bachelors ,Management,F,S,1,57,91729,1957,1,1,2
0,United States,Partial College,Professional,M,S,1,76,113883,1957,1,0,2
0,Canada,Partial College,Professional,M,M,1,82,112820,1957,1,0,2
0,Australia,Graduate Degree,Management,F,M,1,58,106839,1967,0,0,0
1,Australia,Partial College,Skilled Manual,M,S,0,78,88887,1962,1,0,1
0,Australia,Partial College,Skilled Manual,M,S,1,77,108740,1962,1,0,1
1,Australia,Bachelors ,Professional,M,M,1,87,106971,1962,1,0,1
0,Australia,Partial College,Skilled Manual,M,M,1,80,98519,1961,1,0,1
0,Australia,Partial College,Skilled Manual,F,S,0,54,82707,1961,1,0,1
1,Australia,Bachelors ,Professional,M,M,1,83,103866,1961,1,0,1
0,Australia,Partial College,Skilled Manual,F,S,1,46,66520,1960,1,0,1
1,Australia,Bachelors ,Professional,F,S,0,47,75270,1965,1,0,0
1,Australia,Bachelors ,Professional,F,S,1,89,95167,1965,4,5,5
0,Australia,Bachelors ,Professional,F,S,1,49,85087,1964,1,0,0
0,Australia,Bachelors ,Professional,M,M,0,85,102445,1964,1,0,0
0,Australia,Bachelors ,Professional,F,S,0,52,88445,1964,1,0,0
1,Australia,Bachelors ,Professional,M,S,0,74,97782,1964,1,0,0
1,Australia,Bachelors ,Professional,F,M,1,54,117317,1959,1,0,1
1,Australia,Bachelors ,Professional,M,S,0,79,106891,1963,2,0,0
1,Australia,Partial College,Skilled Manual,M,M,1,74,77012,1962,1,0,1
1,Australia,Partial College,Skilled Manual,F,M,1,56,62702,1962,1,0,1
0,Australia,Partial College,Skilled Manual,F,M,1,51,73151,1962,1,0,1
1,Australia,Bachelors ,Professional,M,M,1,142,104220,1962,2,4,5
0,Germany,Partial High School,Manual,M,S,0,61,18709,1973,2,0,0
1,Australia,Partial College,Skilled Manual,M,M,1,141,93330,1962,2,4,5
1,Australia,Partial College,Skilled Manual,M,M,1,140,86770,1962,2,4,5
1,Australia,Partial College,Skilled Manual,F,M,1,84,73276,1961,3,4,5
0,Australia,Partial College,Clerical,M,S,0,58,51078,1935,2,0,2
0,Australia,Bachelors ,Management,F,S,1,37,52280,1936,1,0,2
0,Australia,Partial College,Skilled Manual,M,M,1,143,88615,1960,3,4,5
1,Australia,Partial College,Skilled Manual,M,M,1,140,102114,1960,3,4,5
1,Australia,Partial College,Skilled Manual,M,S,1,80,106875,1957,1,0,1
0,Australia,Partial College,Skilled Manual,F,S,1,46,65730,1956,1,0,1
0,Australia,High School,Skilled Manual,M,M,0,75,32857,1949,2,1,2
0,United States,High School,Skilled Manual,F,M,1,46,46078,1975,1,0,0
0,United States,High School,Skilled Manual,F,S,1,37,32122,1975,1,0,0
0,United States,High School,Skilled Manual,F,M,1,48,34879,1980,2,0,0
0,Canada,High School,Skilled Manual,F,M,0,44,39266,1980,2,0,0
0,Canada,High School,Skilled Manual,F,S,0,40,44139,1980,2,0,0
0,United States,Partial High School,Clerical,F,S,0,34,37010,1980,2,0,0
1,Australia,High School,Skilled Manual,M,S,1,64,26209,1946,2,0,5
0,United States,Partial High School,Clerical,M,S,0,63,64613,1979,2,0,0
0,Canada,High School,Skilled Manual,F,S,0,46,38527,1978,2,0,0
0,United States,High School,Skilled Manual,F,M,1,47,42811,1978,2,0,0
0,United States,High School,Skilled Manual,F,M,0,45,48772,1978,2,0,0
0,Australia,Partial College,Clerical,F,S,0,39,27610,1938,2,0,2
0,United States,Partial High School,Clerical,M,S,0,69,64633,1977,2,0,0
0,United States,High School,Skilled Manual,F,M,0,43,32916,1977,2,0,0
1,Canada,High School,Skilled Manual,M,S,0,73,63488,1977,2,0,0
0,United States,High School,Skilled Manual,M,M,1,70,43666,1977,2,0,0
0,United States,High School,Skilled Manual,M,S,0,64,54938,1979,2,0,0
0,United States,High School,Skilled Manual,F,S,0,37,29691,1979,2,0,0
0,Australia,Bachelors ,Management,F,S,1,47,66934,1939,2,0,2
0,Australia,Graduate Degree,Management,M,M,1,78,124211,1939,1,0,2
0,Australia,Bachelors ,Management,M,M,1,67,63251,1941,2,0,2
0,Australia,Bachelors ,Management,M,M,1,71,82448,1941,2,0,2
0,Australia,Bachelors ,Management,M,S,1,69,77855,1941,2,0,2
0,Australia,Graduate Degree,Management,F,S,0,46,94385,1942,1,0,2
1,United States,High School,Skilled Manual,M,S,1,72,62553,1976,2,0,0
0,United States,High School,Skilled Manual,F,M,1,42,37229,1976,2,0,0
0,United States,Partial College,Skilled Manual,F,S,1,38,33375,1976,1,0,0
1,United States,Partial College,Skilled Manual,M,S,0,68,60713,1976,1,0,0
0,United States,High School,Skilled Manual,F,M,1,50,45639,1975,2,0,0
0,United States,High School,Skilled Manual,M,S,1,65,57274,1975,2,0,0
0,United States,High School,Skilled Manual,F,S,0,40,32033,1975,2,0,0
0,United States,Partial College,Skilled Manual,M,S,0,69,54434,1974,1,0,0
1,United States,Partial College,Skilled Manual,F,S,0,44,46024,1974,1,0,0
0,United States,Partial College,Skilled Manual,M,M,1,66,56829,1974,1,0,0
1,United States,Partial College,Skilled Manual,M,S,0,64,48946,1974,1,0,0
0,United States,Partial College,Skilled Manual,F,M,0,52,89154,1973,1,0,0
1,United States,Partial College,Skilled Manual,F,S,0,46,70041,1972,2,0,0
1,United States,Bachelors ,Management,M,M,1,141,116323,1968,1,4,4
1,United States,Bachelors ,Management,F,M,1,91,104668,1968,1,4,4
1,United States,Bachelors ,Management,M,S,1,80,128776,1967,2,0,1
0,United States,Bachelors ,Management,F,M,1,55,97616,1967,2,0,1
0,United States,Graduate Degree,Management,F,S,0,51,151318,1967,4,0,0
1,United States,Graduate Degree,Management,M,M,1,109,183231,1967,0,1,1
1,United States,Partial College,Skilled Manual,M,S,1,70,98032,1963,2,0,0
1,Canada,Bachelors ,Management,M,M,1,148,140875,1968,1,4,4
1,United States,Graduate Degree,Management,M,M,1,144,185657,1942,2,4,4
0,United States,Graduate Degree,Management,F,M,1,91,141844,1943,3,4,4
1,United States,Bachelors ,Management,F,M,1,73,145176,1943,4,3,3
0,United States,Graduate Degree,Management,M,M,1,126,184504,1943,2,3,3
0,United States,Bachelors ,Management,F,S,1,39,80891,1944,2,0,4
1,United States,Bachelors ,Management,F,S,1,51,90366,1944,2,0,4
0,United States,Bachelors ,Management,F,S,1,42,91037,1944,2,0,4
0,Canada,Bachelors ,Management,F,S,1,48,83404,1944,2,0,4
0,United States,Bachelors ,Management,F,S,1,46,79819,1944,2,0,4
0,United States,Graduate Degree,Management,F,M,1,49,85829,1944,2,0,4
0,United States,Graduate Degree,Management,F,M,0,52,104279,1944,2,0,4
0,United States,Graduate Degree,Management,M,S,1,75,121950,1944,2,0,4
0,United States,Bachelors ,Management,M,M,1,77,95877,1944,2,0,5
0,United States,Bachelors ,Management,F,S,1,47,80055,1945,3,0,5
0,United States,Bachelors ,Management,M,M,1,79,112289,1945,2,0,4
0,United States,Bachelors ,Management,M,M,1,73,111071,1945,2,0,4
0,United States,Bachelors ,Management,F,M,1,51,89692,1945,2,0,4
0,United States,Bachelors ,Management,F,M,1,52,86347,1946,3,0,5
0,United States,Bachelors ,Management,M,M,1,75,96935,1946,3,0,5
1,United States,Bachelors ,Management,F,M,0,57,86749,1946,1,1,3
0,United States,Bachelors ,Management,F,S,1,54,84010,1946,1,1,4
0,United States,Bachelors ,Management,F,M,1,59,81296,1946,1,1,4
1,Canada,Bachelors ,Management,M,M,1,96,101131,1947,1,1,4
0,United States,Bachelors ,Management,F,M,1,57,83256,1947,1,1,4
0,United States,Bachelors ,Management,F,M,0,55,96418,1947,2,0,5
0,Canada,High School,Professional,M,M,1,83,55404,1948,2,1,2
0,United States,High School,Professional,F,M,1,53,50201,1948,2,1,2
0,United States,High School,Professional,F,M,1,53,52116,1948,2,1,2
0,United States,Partial College,Professional,M,M,1,94,96883,1948,1,1,2
1,United States,Bachelors ,Management,F,M,1,54,81421,1948,0,1,2
1,United States,Bachelors ,Management,F,M,1,57,73189,1948,0,1,2
0,United States,Partial College,Professional,M,M,1,100,87565,1948,2,1,4
1,Canada,High School,Professional,F,M,1,53,50320,1949,2,1,2
0,Canada,High School,Professional,F,M,1,53,48200,1949,2,1,2
0,United States,Partial College,Professional,F,S,1,51,69431,1949,2,1,2
0,United States,Partial College,Professional,M,S,1,84,91233,1949,2,1,2
0,United States,Partial College,Professional,F,S,1,53,79388,1950,2,1,2
1,United States,Partial College,Professional,F,S,1,55,81490,1950,2,1,2
0,United States,Partial College,Professional,F,S,0,54,76220,1950,2,1,2
0,United States,High School,Professional,M,M,1,92,88557,1950,2,1,2
0,United States,Partial College,Professional,F,M,1,57,98934,1950,1,1,2
0,United States,Partial College,Professional,M,M,1,110,107014,1950,1,2,4
0,United States,Bachelors ,Management,F,M,1,65,97838,1950,1,1,3
1,Canada,High School,Professional,F,S,1,60,93756,1951,2,1,2
0,United States,High School,Professional,F,S,1,52,58807,1951,2,1,2
0,United States,Partial College,Professional,F,M,1,53,75300,1951,1,1,2
0,United States,Partial College,Professional,F,M,1,59,69781,1951,1,1,2
1,United States,Partial College,Professional,M,S,1,92,107126,1951,2,1,2
1,United States,Partial College,Professional,F,M,1,63,83120,1951,2,1,2
0,United States,Partial College,Professional,M,S,1,96,79403,1951,1,2,4
0,United States,Partial College,Professional,F,M,0,68,82373,1951,2,2,4
0,United States,High School,Professional,M,M,1,89,82678,1952,2,1,2
1,United States,High School,Professional,F,M,0,58,89815,1952,2,1,3
0,United States,Partial College,Professional,M,M,1,108,95975,1952,2,2,4
1,United States,Partial College,Professional,F,S,1,58,81567,1952,2,2,4
0,United States,Partial College,Professional,M,M,1,109,97258,1952,2,2,4
1,United States,Partial College,Professional,M,S,1,107,104005,1952,2,2,5
1,Germany,Bachelors ,Management,M,S,0,126,164291,1958,4,3,3
1,United Kingdom,Bachelors ,Management,F,S,0,80,138418,1958,4,3,3
0,United Kingdom,Partial College,Professional,F,M,0,98,123475,1958,2,4,4
1,United Kingdom,Partial College,Professional,F,M,1,88,136555,1958,4,3,3
1,France,Partial College,Professional,F,S,1,80,114730,1957,4,3,3
1,France,Partial College,Professional,M,M,1,153,160265,1957,3,4,4
0,United Kingdom,Partial College,Professional,F,M,1,89,131035,1957,3,3,3
1,United Kingdom,Bachelors ,Management,F,S,0,81,139552,1957,3,3,3
1,Germany,High School,Professional,M,M,0,147,154573,1956,4,4,4
0,Germany,High School,Professional,F,M,0,99,136970,1956,4,4,4
1,France,Partial College,Professional,M,M,1,157,165394,1955,4,4,4
1,Germany,Partial College,Professional,F,M,1,94,128534,1955,3,4,4
0,United Kingdom,High School,Professional,F,M,1,98,140179,1955,2,4,4
0,Canada,High School,Professional,M,S,0,55,50003,1932,2,0,4
0,United States,Graduate Degree,Management,M,S,1,71,139004,1932,1,0,3
0,Canada,Graduate Degree,Management,M,M,1,72,127974,1933,2,0,2
0,United States,Graduate Degree,Management,M,M,1,71,101550,1933,2,0,4
0,United States,Graduate Degree,Management,F,M,1,44,88902,1933,2,0,4
0,United States,Graduate Degree,Management,F,S,1,59,146565,1933,4,2,2
0,United States,Partial College,Professional,F,M,1,65,96421,1965,4,1,4
1,United States,Bachelors ,Management,F,M,1,80,127739,1965,3,2,2
0,United States,Graduate Degree,Management,F,M,1,79,154474,1965,1,2,2
0,Canada,Bachelors ,Management,F,M,1,89,97283,1964,0,3,4
0,United States,Partial College,Professional,F,M,1,99,104042,1964,3,5,5
1,United States,Partial College,Professional,M,S,0,154,122978,1964,3,5,5
1,United States,Partial College,Professional,F,M,1,98,91607,1964,3,5,5
0,United States,Partial College,Professional,F,S,0,51,98748,1964,1,0,0
1,United States,Partial College,Professional,M,S,1,115,169568,1964,4,2,4
0,United States,Graduate Degree,Management,F,M,1,80,145275,1964,2,2,2
1,United States,Graduate Degree,Management,M,M,1,119,173834,1964,2,2,2
1,United States,Graduate Degree,Management,M,M,1,119,180861,1964,3,2,2
1,United States,Bachelors ,Management,F,S,0,53,141306,1964,4,0,2
1,United States,Partial College,Professional,F,S,1,73,72083,1956,0,3,4
0,United States,Partial College,Professional,M,M,1,105,116585,1956,0,1,2
0,United States,Graduate Degree,Management,M,M,1,61,75549,1934,2,0,2
0,United States,Graduate Degree,Management,F,M,1,48,112925,1934,2,0,4
1,Canada,Partial College,Professional,F,M,1,86,102901,1963,2,3,4
1,Canada,Partial College,Professional,M,M,1,134,125463,1963,2,3,4
0,United States,Partial College,Professional,F,M,1,55,85754,1963,1,0,0
0,United States,Partial College,Professional,F,M,1,52,85754,1963,1,0,0
0,United States,Partial College,Professional,F,M,1,55,86138,1963,1,0,0
0,United States,Partial College,Professional,F,M,1,52,86138,1963,1,0,0
1,United States,Partial College,Professional,M,M,1,92,125485,1963,1,0,0
1,United States,Bachelors ,Management,F,S,1,74,127801,1963,4,2,4
1,United States,Partial College,Professional,M,M,1,146,105527,1962,4,4,5
1,United States,Bachelors ,Management,M,M,1,136,155993,1962,2,3,3
1,United States,Partial College,Professional,M,M,0,141,164943,1962,4,3,3
0,United States,Graduate Degree,Management,M,M,1,93,169863,1962,4,0,0
1,Canada,Partial College,Professional,M,M,0,140,97392,1961,3,4,5
1,United States,Bachelors ,Management,F,M,1,85,123794,1961,1,3,3
1,United States,Bachelors ,Management,F,M,1,88,145642,1961,3,3,3
0,United States,Bachelors ,Management,F,M,1,89,130738,1961,3,3,3
1,United States,Partial College,Professional,M,S,0,112,150167,1961,3,2,2
1,United States,High School,Professional,M,S,0,71,96447,1955,2,0,2
0,United States,High School,Professional,M,M,0,84,92889,1955,2,0,2
1,United States,Partial High School,Skilled Manual,F,S,1,47,89097,1954,2,0,2
0,United States,Graduate Degree,Management,F,S,1,47,82760,1935,2,0,2
0,United States,Graduate Degree,Management,M,S,1,68,109129,1935,2,0,4
0,United States,Graduate Degree,Management,M,M,1,73,112116,1935,2,0,4
0,United States,Graduate Degree,Management,M,M,1,72,117520,1936,2,0,4
1,Canada,Partial College,Professional,M,M,0,152,122139,1960,3,4,5
1,United States,Partial College,Professional,M,M,1,145,127971,1960,4,4,5
1,United States,High School,Professional,M,S,0,120,121401,1960,3,3,4
1,United States,High School,Professional,F,S,0,75,106090,1960,3,3,4
0,United States,Partial College,Professional,F,M,1,83,95526,1960,0,3,3
0,United States,Partial College,Professional,M,M,0,137,156297,1960,4,3,3
1,United States,Partial College,Professional,M,M,0,142,171700,1960,4,3,3
0,United States,Partial High School,Skilled Manual,M,M,1,88,114324,1954,2,0,2
0,United States,High School,Professional,M,M,0,75,82817,1954,2,0,2
0,United States,High School,Professional,F,S,1,46,72518,1954,2,0,2
1,United States,Graduate Degree,Management,F,S,1,51,103232,1953,2,0,3
0,United States,Graduate Degree,Management,F,S,0,46,88666,1953,2,0,3
0,United States,Graduate Degree,Management,F,S,1,51,91177,1953,2,0,3
0,United States,Graduate Degree,Management,M,S,1,79,101674,1953,2,0,3
1,United States,Graduate Degree,Management,F,S,0,51,92491,1953,2,0,3
1,United States,Graduate Degree,Management,F,S,0,53,100009,1953,2,0,3
0,Canada,Graduate Degree,Management,M,M,1,83,122242,1953,2,0,3
0,United States,Partial College,Professional,F,S,0,42,45387,1952,2,0,3
0,United States,Partial College,Professional,F,S,0,47,63473,1952,2,0,3
0,United States,Graduate Degree,Management,F,M,0,47,99881,1937,2,0,4
0,United States,Graduate Degree,Management,F,M,1,50,140771,1937,2,0,4
0,United States,Bachelors ,Management,M,M,1,76,126955,1938,2,0,5
0,United States,Bachelors ,Management,F,M,1,52,110304,1938,2,0,5
0,United States,Bachelors ,Management,M,M,1,78,131143,1939,2,0,5
0,United States,Bachelors ,Management,M,S,1,72,128035,1939,2,0,5
1,United States,Bachelors ,Management,M,M,1,117,167552,1939,4,3,3
0,Canada,Bachelors ,Management,M,M,1,79,133053,1940,2,0,5
0,United States,Bachelors ,Management,M,S,1,71,146838,1940,2,0,5
0,Canada,Graduate Degree,Management,M,M,1,140,184290,1940,1,4,4
0,United Kingdom,Graduate Degree,Clerical,F,M,1,51,36399,1962,0,0,1
0,United Kingdom,Bachelors ,Manual,F,M,1,43,26675,1961,0,0,1
0,Germany,Bachelors ,Manual,F,M,1,42,27831,1961,0,0,1
1,France,Graduate Degree,Clerical,M,M,1,76,58842,1962,0,0,1
0,United Kingdom,Bachelors ,Manual,M,M,1,69,28641,1961,0,0,1
1,Germany,Graduate Degree,Clerical,M,M,1,76,58637,1961,0,0,1
0,France,Graduate Degree,Clerical,M,S,1,65,45259,1961,0,0,1
0,France,Graduate Degree,Clerical,F,M,1,36,28969,1936,0,0,1
0,United Kingdom,Graduate Degree,Clerical,M,M,1,61,46868,1936,0,0,1
1,France,Graduate Degree,Clerical,M,M,1,80,72684,1962,0,0,5
0,United Kingdom,Bachelors ,Manual,M,M,1,63,23353,1958,0,0,1
0,United Kingdom,Partial College,Manual,F,M,1,43,30760,1957,0,0,1
0,France,Partial College,Manual,F,S,1,33,16168,1957,0,0,1
0,France,Partial College,Manual,F,S,1,40,27856,1955,1,0,2
0,Germany,Partial College,Manual,M,M,1,61,23130,1955,1,0,2
0,Germany,Partial College,Manual,M,M,1,68,34162,1955,1,0,2
0,Germany,Partial College,Manual,F,M,1,37,21535,1954,1,0,2
0,United Kingdom,Graduate Degree,Clerical,F,M,1,42,62977,1937,0,0,1
0,United Kingdom,Bachelors ,Clerical,F,S,1,38,25937,1939,0,0,1
0,France,Partial College,Manual,M,M,1,58,14242,1940,1,0,2
0,United Kingdom,Bachelors ,Clerical,F,S,1,41,52894,1941,0,0,1
0,Germany,Partial College,Manual,F,M,1,37,13044,1942,0,0,1
0,United Kingdom,Graduate Degree,Clerical,M,M,1,75,72297,1942,0,0,1
0,Australia,Partial College,Manual,M,S,0,55,14342,1979,1,0,0
0,Australia,Partial College,Manual,F,S,0,42,31655,1978,1,0,0
0,Australia,Partial College,Manual,M,S,0,53,18161,1978,1,0,0
0,Australia,Partial College,Manual,M,S,1,57,22747,1978,1,0,0
0,Australia,High School,Manual,F,M,1,39,11376,1977,2,0,0
0,Australia,High School,Manual,M,M,0,60,20222,1977,2,0,0
0,Australia,High School,Manual,M,S,0,56,25274,1977,2,0,0
1,Australia,High School,Manual,F,S,0,47,13853,1979,0,1,1
1,Australia,High School,Manual,F,S,0,51,19497,1979,0,1,1
0,Australia,Bachelors ,Clerical,F,M,1,38,22319,1979,0,0,0
0,Australia,Bachelors ,Clerical,M,M,1,62,41970,1979,0,0,0
0,Australia,High School,Manual,M,S,0,73,27256,1978,0,1,1
0,Australia,Bachelors ,Clerical,F,M,0,44,29302,1978,0,0,0
0,Australia,Bachelors ,Clerical,F,M,1,37,25568,1978,0,0,0
0,Australia,Bachelors ,Clerical,F,M,1,41,26344,1978,0,0,0
0,Australia,Bachelors ,Clerical,F,S,1,47,35279,1978,0,0,0
1,Germany,Bachelors ,Clerical,M,S,1,69,74697,1943,0,0,1
0,United Kingdom,Bachelors ,Clerical,M,M,1,68,47277,1943,0,0,1
0,United Kingdom,Graduate Degree,Clerical,M,S,1,68,65086,1943,0,0,1
0,France,High School,Manual,F,S,0,48,28411,1960,1,1,1
0,France,High School,Manual,M,M,1,76,16401,1959,1,1,1
0,Germany,Partial College,Manual,M,S,1,64,30357,1959,1,0,2
0,United Kingdom,Partial College,Manual,F,M,1,41,11073,1959,1,0,2
0,France,Partial College,Manual,M,M,1,62,18715,1958,1,0,2
0,France,Graduate Degree,Clerical,F,M,1,53,59143,1960,0,0,3
0,France,Bachelors ,Clerical,F,M,1,55,55550,1960,0,0,3
0,United Kingdom,Bachelors ,Clerical,M,S,1,67,55029,1960,0,0,3
0,Germany,Bachelors ,Clerical,F,M,1,49,42241,1960,0,0,3
1,United Kingdom,Graduate Degree,Clerical,F,S,1,40,69335,1959,0,0,3
1,United Kingdom,Graduate Degree,Clerical,M,M,1,76,76084,1959,0,0,3
0,Germany,High School,Manual,M,S,0,66,18210,1970,1,1,1
0,France,High School,Manual,F,S,0,50,22252,1970,1,1,1
1,Germany,High School,Manual,F,S,1,54,20896,1970,0,2,2
1,Germany,High School,Manual,M,S,1,78,19837,1970,0,2,2
0,France,High School,Manual,M,S,1,79,18666,1969,0,2,2
0,Germany,High School,Manual,M,M,0,87,16243,1969,1,2,2
0,United Kingdom,Bachelors ,Clerical,M,S,1,73,66885,1969,0,0,0
0,France,Bachelors ,Clerical,F,S,1,47,58624,1969,0,0,1
0,United Kingdom,Graduate Degree,Clerical,M,S,1,65,74702,1969,0,0,0
0,France,Graduate Degree,Clerical,F,M,1,51,65127,1969,0,0,0
0,France,Graduate Degree,Clerical,F,M,1,52,65243,1969,0,0,0
1,France,Graduate Degree,Clerical,F,S,1,46,52357,1969,0,0,0
0,Germany,Partial College,Manual,F,S,0,39,17764,1952,2,0,3
0,Germany,Partial College,Manual,F,S,0,42,23009,1952,2,0,3
0,France,Partial College,Manual,F,M,1,42,32283,1952,1,0,2
0,Germany,Partial College,Manual,M,M,1,71,46377,1952,1,0,2
0,United Kingdom,High School,Manual,M,M,0,78,25070,1953,2,1,2
0,France,High School,Manual,F,S,1,55,24171,1968,1,2,2
0,France,Partial College,Manual,M,M,1,77,19553,1968,0,1,1
1,Germany,Partial College,Professional,M,M,0,111,118844,1954,1,2,3
1,Germany,Partial College,Professional,F,S,1,68,97749,1954,1,2,4
1,United Kingdom,Partial College,Professional,F,M,0,76,106318,1954,1,2,4
1,United Kingdom,Partial College,Professional,M,S,1,105,122977,1954,1,2,4
0,Germany,Partial College,Professional,M,S,0,73,133666,1944,2,0,5
0,France,Partial High School,Skilled Manual,F,M,1,56,68671,1945,4,1,3
0,France,High School,Professional,F,M,1,57,66944,1945,2,1,5
0,Germany,Partial College,Professional,M,S,0,72,124183,1945,2,0,5
1,United Kingdom,Graduate Degree,Management,M,M,1,147,173468,1945,4,4,4
0,France,Bachelors ,Management,M,M,1,122,126123,1946,4,3,3
0,Germany,Bachelors ,Management,F,M,1,86,119995,1946,4,4,4
